objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
52,E05000077,Lesnes Abbey, ,548175,178189,0.132596,51.48324966,2370200.34354526,8453.21618888051
53,E05000078,Longlands, ,545622,171995,0.093306,51.42824936,2597236.10367889,9132.26293940398
54,E05000079,North End, ,552701,176856,0.19715101,51.47006989,4452396.40629284,12227.4762855982
55,E05000080,Northumberland Heath, ,549649,177366,0.15346,51.47546005,1752806.50389988,6951.20721062728
56,E05000081,St Mary's, ,549096,173258,0.14377099,51.43870163,4428495.09612191,11157.9222304504
57,E05000082,St Michael's, ,547201,176845,0.11802,51.47142029,1448144.14419866,4967.06317152871
58,E05000083,Sidcup, ,546202,173047,0.102077,51.43756104,2703461.19968745,9971.55259504141
59,E05000084,Thamesmead East, ,548396,180162,0.13660599,51.50091934,3976450.40356968,8924.84434902062
60,E05000085,Alperton, ,518344,183853,-0.29488999,51.54116821,2058551.73992492,8981.86966013859
61,E05000086,Barnhill, ,519301,187233,-0.27994999,51.5713501,2979038.67088765,10081.2853594956
62,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.54235077,1729426.24242519,6877.42164453939
63,E05000088,Dollis Hill, ,522313,186513,-0.23676001,51.5642395,2299550.94396542,7281.39209279899
64,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.55522919,1681456.49695361,9680.38618295908
65,E05000090,Fryent, ,520182,188419,-0.26684001,51.58182144,2659395.61988341,9254.86262723435
66,E05000091,Harlesden, ,521490,183879,-0.24954,51.54074097,1113706.10586821,5242.74683441915
67,E05000092,Kensal Green, ,522352,183277,-0.23732001,51.53514862,1120046.46189824,5676.71596612259
68,E05000093,Kenton, ,517617,188189,-0.30392,51.58029938,2243130.67988459,7666.35037725868
69,E05000094,Kilburn, ,524960,183799,-0.19956,51.53926849,943994.22291044,5241.85206847165
70,E05000095,Mapesbury, ,523466,185443,-0.22051001,51.55437088,1393470.56208776,5797.36167389515
71,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57205963,2679936.36579562,8748.18586302065
72,E05000097,Preston, ,518207,186413,-0.296,51.56420898,2388246.77074483,7412.10195606916
73,E05000098,Queens Park, ,524047,183333,-0.21288,51.53527832,1485621.77689611,6501.01148134594
74,E05000099,Queensbury, ,519681,189604,-0.27366,51.59257889,2051245.89303407,6820.63255108967
75,E05000100,Stonebridge, ,520083,183661,-0.26989001,51.53908157,4050632.63049759,11142.7817020659
76,E05000101,Sudbury, ,516871,185370,-0.31562001,51.55511856,2124779.88910004,8701.52585218529
77,E05000102,Tokyngton, ,519356,185188,-0.27985001,51.55295944,2759200.28688429,7748.04416987134
78,E05000103,Welsh Harp, ,520882,186662,-0.25734001,51.56587982,2318940.10673905,9406.82113482017
79,E05000104,Wembley Central, ,518205,184839,-0.29655999,51.55007172,1604221.43596451,7604.36846483101
80,E05000105,Willesden Green, ,522219,184330,-0.23886999,51.54463959,1548053.17480901,7570.81857589058
81,E05000106,Bickley, ,542443,169027,0.046418,51.40238953,4869086.51634291,10628.452038237
82,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369019,8280371.14687476,16486.3486889922
83,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.36983871,8308217.69281316,19019.1318165583
84,E05000109,Bromley Town, ,540273,169266,0.015337,51.40507889,3716584.53025133,13694.9600389935
85,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.34455109,12563166.1903657,23228.0675260763
86,E05000111,Chislehurst, ,544442,170313,0.075659,51.4134407,10441238.2572352,17042.6603400242
87,E05000112,Clock House, ,536163,169328,-0.04369,51.40663147,2266433.11023353,9142.48921482903
88,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41242981,3286947.14166998,11528.1157140782
89,E05000114,Cray Valley East, ,548054,168282,0.12671401,51.39426041,13278630.9961288,20252.8612048823
90,E05000115,Cray Valley West, ,546389,168891,0.10305,51.40016174,3938482.17041579,12519.3938210274
91,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.41561127,2291143.11946967,7810.07155157313
92,E05000117,Darwin, ,542742,160113,0.047142,51.3222084,29039641.9538618,31554.901726575
93,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.36449051,7005822.66715083,14400.7407551004
94,E05000119,Hayes and Coney Hall, ,539858,165582,0.007927,51.37208176,10823009.2223647,16853.0063725159
95,E05000120,Kelsey and Eden Park, ,537051,167654,-0.03157,51.39138031,5198957.51343014,13400.8094502633
96,E05000121,Mottingham and Chislehurst North, ,542017,172311,0.041613,51.43201065,2441836.50775373,8823.93293550585
97,E05000122,Orpington, ,546890,165750,0.108949,51.37181091,4256203.95090366,9966.12179354633
98,E05000123,Penge and Cator, ,535785,170333,-0.04873,51.41576004,2959726.46020075,8669.91474129318
99,E05000124,Petts Wood and Knoll, ,544615,167525,0.07701,51.38834,4301313.01325217,13269.8360396384
100,E05000125,Plaistow and Sundridge, ,540853,170677,0.024231,51.41761017,4000908.44568426,9896.52118728173
101,E05000126,Shortlands, ,539010,168318,-0.00318,51.39686966,2456677.59428748,8770.1852178785
102,E05000127,West Wickham, ,538494,166071,-0.01146,51.37680054,4410461.90039754,10320.8700308477
103,E05000128,Belsize, ,527236,184686,-0.16643,51.54673004,780566.12602038,3857.51843454928
104,E05000129,Bloomsbury, ,529655,181984,-0.13256,51.52190018,1020926.61917785,4853.36554543088
105,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.54085159,1166150.10584385,5550.61547360608
106,E05000131,Cantelowes, ,529498,184536,-0.13389,51.54486847,759309.4951161,4253.13091774226
107,E05000132,Fortune Green, ,524882,185333,-0.20014,51.55307007,1006507.57538388,5405.26774093209
108,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55615997,1530217.31245313,6168.75047657479
109,E05000134,Gospel Oak, ,528008,185341,-0.15507001,51.55244064,692303.65532782,4414.92670183168
110,E05000135,Hampstead Town, ,526645,186181,-0.17442,51.56029892,2449387.95559959,8373.64011019804
111,E05000136,Haverstock, ,528188,184717,-0.15270001,51.54679108,731761.155106965,4136.16517766646
112,E05000137,Highgate, ,528093,186523,-0.15341,51.56304169,3239256.79236473,7716.39358439983
113,E05000138,Holborn and Covent Garden, ,530905,181692,-0.11466,51.51897812,1194918.40986019,5999.14046930159
114,E05000139,Kentish Town, ,529104,185286,-0.13929,51.55170059,1028981.93671418,4988.00220128009
